単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
人,ヒト,ヒト,10,人,e
物,モノ,モノ,10,人工物-その他,e
自分,ジブン,ジブン,10,人,e
家,イエ,イエ,10,組織・団体;場所-施設,-
手,テ,テ,10,動物-部位;抽象物,e
男,オトコ,オトコ,10,人,-
顔,カオ,カオ,10,動物-部位,-
子供,コドモ,コドモ,10,人,-
女,オンナ,オンナ,10,人,-
電話,デンワ,デンワ,10,人工物-その他,-
母,ハハ,ハハ,10,人,-
店,ミセ,ミセ,10,場所-施設,-
頭,アタマ,アタマ,10,動物-部位,?p?n
口,クチ,クチ,10,動物-部位;抽象物;形・模様,-
会社,カイシャ,カイシャ,10,組織・団体;場所-施設,-
父,チチ,チチ,10,人,-
先生,センセイ,センセイ,10,人,e
部屋,ヘヤ,ヘヤ,10,場所-施設,-
水,ミズ,ミズ,10,自然物,-
国,クニ,クニ,10,組織・団体;場所-その他,-
色,イロ,イロ,10,色,-
道,ミチ,ミチ,10,場所-施設,-
足,アシ,アシ,10,動物-部位,-
友達,トモダチ,トモダチ,10,人,p
学校,ガッコウ,ガッコウ,10,場所-施設,-
テレビ,テレビ,テレビ,10,人工物-その他,-
大学,ダイガク,ダイガク,10,場所-施設,-
山,ヤマ,ヤマ,10,場所-自然,-
写真,シャシン,シャシン,10,人工物-その他,-
家族,カゾク,カゾク,10,組織・団体,-
耳,ミミ,ミミ,10,動物-部位,-
犬,イヌ,イヌ,10,動物,-
木,キ,キ,10,植物,-
ホテル,ホテル,ホテル,10,場所-施設,-
酒,サケ,サケ,10,人工物-食べ物,-
海,ウミ,ウミ,10,場所-自然,-
駅,エキ,エキ,10,場所-施設,-
兄,アニ,アニ,10,人,-
料理,リョウリ,リョウリ,10,人工物-食べ物;抽象物,e
女の子,オンナノコ,オンナノコ,10,人,-
台,ダイ,ダイ,10,人工物-その他,e
窓,マド,マド,10,場所-施設部位,-
猫,ネコ,ネコ,10,動物,-
花,ハナ,ハナ,10,植物,e
ドア,ドア,ドア,10,場所-施設,e
歯,ハ,ハ,10,動物-部位,-
新聞,シンブン,シンブン,10,人工物-その他,-
伯父,オジ,オジ,10,人,-
川,カワ,カワ,10,場所-自然,-
姉,アネ,アネ,10,人,-
紙,カミ,カミ,10,人工物-その他,-
薬,クスリ,クスリ,10,人工物-その他,e
服,フク,フク,10,人工物-衣類,-
隣り,トナリ,トナリ,10,場所-その他,-
両親,リョウシン,リョウシン,10,人,-
タバコ,タバコ,タバコ,10,人工物-その他,-
大人,オトナ,オトナ,10,人,e
学生,ガクセイ,ガクセイ,10,人,-
鼻,ハナ,ハナ,10,動物-部位,-
村,ムラ,ムラ,10,組織・団体;場所-その他,-
箱,ハコ,ハコ,10,人工物-その他,-
黒,クロ,クロ,10,色,-
銀行,ギンコウ,ギンコウ,10,組織・団体;場所-施設,-
家庭,カテイ,カテイ,10,場所-その他,p
手紙,テガミ,テガミ,10,人工物-その他,-
椅子,イス,イス,10,人工物-その他,-
テーブル,テーブル,テーブル,10,人工物-その他,-
背,セ,セ,10,動物-部位;場所-機能,-
魚,サカナ,サカナ,10,動物,-
電車,デンシャ,デンシャ,10,人工物-乗り物,-
医者,イシャ,イシャ,10,人,-
伯母,オバ,オバ,10,人,-
ベッド,ベッド,ベッド,10,人工物-その他,-
絵,エ,エ,10,人工物-その他;抽象物,p
コーヒー,コーヒー,コーヒー,10,人工物-食べ物,-
弟,オトウト,オトウト,10,人,-
妹,イモウト,イモウト,10,人,-
白,シラ,シラ,10,色,-
風呂,フロ,フロ,10,人工物-その他,-
外国,ガイコク,ガイコク,10,場所-その他,-
雑誌,ザッシ,ザッシ,10,人工物-その他;抽象物,-
庭,ニワ,ニワ,10,場所-施設,-
玄関,ゲンカン,ゲンカン,10,場所-施設部位,-
男の子,オトコノコ,オトコノコ,10,人,-
兄弟,キョウダイ,キョウダイ,10,人,-
動物,ドウブツ,ドウブツ,10,動物,-
トイレ,トイレ,トイレ,10,場所-施設,-
肉,ニク,ニク,10,動物-部位;人工物-食べ物,-
建物,タテモノ,タテモノ,10,場所-施設,-
橋,ハシ,ハシ,10,場所-施設,-
御飯,ゴハン,ゴハン,10,人工物-食べ物,-
階段,カイダン,カイダン,10,場所-施設部位,-
鳥,トリ,トリ,10,動物,-
赤,アカ,アカ,10,色,-
鍵,カギ,カギ,10,人工物-その他,-
荷物,ニモツ,ニモツ,10,人工物-その他,-
コピー,コピー,コピー,10,人工物-その他;抽象物,-
時計,トケイ,トケイ,10,人工物-その他,-
公園,コウエン,コウエン,10,場所-施設,-
机,ツクエ,ツクエ,10,人工物-その他,-
門,モン,モン,10,場所-施設,-
アパート,アパート,アパート,10,場所-施設,-
戸,ト,ト,10,場所-施設,-
卵,タマゴ,タマゴ,10,人工物-食べ物;自然物,-
ノート,ノート,ノート,10,人工物-その他,-
カメラ,カメラ,カメラ,10,人工物-その他,-
菓子,カシ,カシ,10,人工物-食べ物,-
緑,ミドリ,ミドリ,10,色,e
シャツ,シャツ,シャツ,10,人工物-衣類,-
タクシー,タクシー,タクシー,10,人工物-乗り物,-
靴,クツ,クツ,10,人工物-衣類,-
入り口,イリグチ,イリグチ,10,場所-その他,-
廊下,ロウカ,ロウカ,10,場所-施設部位,-
クラス,クラス,クラス,10,組織・団体;抽象物,-
眼鏡,メガネ,メガネ,10,人工物-その他,-
テープ,テープ,テープ,10,人工物-その他,-
ポケット,ポケット,ポケット,10,人工物-その他,-
食べ物,タベモノ,タベモノ,10,人工物-食べ物,-
ラジオ,ラジオ,ラジオ,10,人工物-その他,-
青,アオ,アオ,10,色,-
教室,キョウシツ,キョウシツ,10,場所-施設,-
皿,サラ,サラ,9,人工物-その他,-
大勢,オオゼイ,オオゼイ,10,人,-
地図,チズ,チズ,10,人工物-その他;抽象物,-
野菜,ヤサイ,ヤサイ,10,植物;人工物-食べ物,-
洋服,ヨウフク,ヨウフク,10,人工物-衣類,-
レストラン,レストラン,レストラン,10,場所-施設,-
生徒,セイト,セイト,10,人,-
台所,ダイドコロ,ダイドコロ,10,場所-施設,-
池,イケ,イケ,10,場所-自然,-
ペン,ペン,ペン,10,人工物-その他,-
ボタン,ボタン,ボタン,9,植物;人工物-その他,e
カレー,カレー,カレー,10,人工物-食べ物,-
弁当,ベントウ,ベントウ,10,人工物-食べ物,-
カップ,カップ,カップ,10,人工物-その他,-
封筒,フウトウ,フウトウ,10,人工物-その他,-
財布,サイフ,サイフ,10,人工物-その他,-
帽子,ボウシ,ボウシ,10,人工物-衣類,-
塩,シオ,シオ,10,人工物-食べ物;自然物,-
ズボン,ズボン,ズボン,10,人工物-衣類,-
スカート,スカート,スカート,10,人工物-衣類,-
牛乳,ギュウニュウ,ギュウニュウ,10,人工物-食べ物;自然物,-
ナイフ,ナイフ,ナイフ,10,人工物-その他,-
砂糖,サトウ,サトウ,10,人工物-食べ物,-
傘,カサ,カサ,10,人工物-その他,-
醤油,ショウユ,ショウユ,9,人工物-食べ物,-
葉書,ハガキ,ハガキ,10,人工物-その他,-
コップ,コップ,コップ,10,人工物-その他,-
デパート,デパート,デパート,10,場所-施設,-
シャワー,シャワー,シャワー,10,人工物-その他,-
箸,ハシ,ハシ,10,人工物-その他,-
警官,ケイカン,ケイカン,10,人,-
鞄,カバン,カバン,10,人工物-その他,-
食堂,ショクドウ,ショクドウ,10,場所-施設,-
プール,プール,プール,10,場所-施設,-
黄色,キイロ,キイロ,10,色,-
エレベーター,エレベーター,エレベーター,10,人工物-乗り物,-
フィルム,フィルム,フィルム,10,人工物-その他,-
石鹸,セッケン,セッケン,10,人工物-その他,-
飲み物,ノミモノ,ノミモノ,10,人工物-食べ物,-
茶色,チャイロ,チャイロ,10,色,-
ギター,ギター,ギター,10,人工物-その他,-
切符,キップ,キップ,10,人工物-その他,-
出口,デグチ,デグチ,10,場所-施設部位,-
飴,アメ,アメ,10,人工物-食べ物,p
ネクタイ,ネクタイ,ネクタイ,10,人工物-衣類,-
上着,ウワギ,ウワギ,9,人工物-衣類,-
ハンカチ,ハンカチ,ハンカチ,10,人工物-その他,-
茶碗,チャワン,チャワン,9,人工物-その他,-
バター,バター,バター,10,人工物-食べ物,-
靴下,クツシタ,クツシタ,9,人工物-衣類,-
セーター,セーター,セーター,10,人工物-衣類,-
果物,クダモノ,クダモノ,10,植物;人工物-食べ物,-
夕飯,ユウハン,ユウハン,8,人工物-食べ物,-
紅茶,コウチャ,コウチャ,10,人工物-食べ物,-
鉛筆,エンピツ,エンピツ,10,人工物-その他,-
スリッパ,スリッパ,スリッパ,10,人工物-衣類,-
灰皿,ハイザラ,ハイザラ,10,人工物-その他,-
ストーブ,ストーブ,ストーブ,10,人工物-その他,-
スプーン,スプーン,スプーン,10,人工物-その他,-
カレンダー,カレンダー,カレンダー,9,人工物-その他,-
背広,セビロ,セビロ,10,人工物-衣類,e
交番,コウバン,コウバン,9,場所-施設,-
ワイシャツ,ワイシャツ,ワイシャツ,10,人工物-衣類,-
牛肉,ギュウニク,ギュウニク,10,人工物-食べ物,-
豚肉,ブタニク,ブタニク,9,動物-部位;人工物-食べ物,-
本棚,ホンダナ,ホンダナ,8,人工物-その他;場所-施設部位,-
花瓶,カビン,カビン,10,人工物-その他,-
八百屋,ヤオヤ,ヤオヤ,9,場所-施設,-
子,コ,コ,10,人,-
女性,ジョセイ,ジョセイ,10,人,e
場所,バショ,バショ,10,場所-その他,-
娘,ムスメ,ムスメ,10,人,-
世界,セカイ,セカイ,10,場所-その他,e
男性,ダンセイ,ダンセイ,10,人,-
主人,シュジン,シュジン,10,人,-
客,キャク,キャク,10,人,-
首,クビ,クビ,10,動物-部位,-
市,シ,シ,10,組織・団体;場所-その他,-
夫,オット,オット,10,人,-
周り,マワリ,マワリ,10,場所-その他,-
妻,ツマ,ツマ,10,人,-
息子,ムスコ,ムスコ,10,人,-
県,ケン,ケン,10,組織・団体;場所-その他,-
警察,ケイサツ,ケイサツ,10,組織・団体;場所-施設,e
船,フネ,フネ,10,人工物-乗り物,-
食事,ショクジ,ショクジ,10,人工物-食べ物,-
席,セキ,セキ,10,場所-施設部位,-
パソコン,パソコン,パソコン,10,人工物-その他,-
腕,ウデ,ウデ,10,動物-部位,-
高校,コウコウ,コウコウ,10,組織・団体;場所-施設,-
指,ユビ,ユビ,10,動物-部位,-
社会,シャカイ,シャカイ,10,場所-その他,-
火,ヒ,ヒ,10,自然物,-
血,チ,チ,10,自然物,e
髪,カミ,カミ,10,動物-部位,-
石,イシ,イシ,10,自然物,-
空気,クウキ,クウキ,10,自然物,e
ガラス,ガラス,ガラス,10,人工物-その他,-
近所,キンジョ,キンジョ,10,場所-その他,-
背中,セナカ,セナカ,10,動物-部位,-
社長,シャチョウ,シャチョウ,10,人,-
先輩,センパイ,センパイ,10,人,-
住所,ジュウショ,ジュウショ,10,場所-その他,-
都,ト,ト,10,組織・団体;場所-その他,-
森,モリ,モリ,10,場所-自然,-
布団,フトン,フトン,10,人工物-その他,-
喉,ノド,ノド,10,動物-部位,-
湯,ユ,ユ,10,自然物,-
赤ちゃん,アカチャン,アカチャン,10,人,-
区,ク,ク,10,組織・団体;場所-その他,-
虫,ムシ,ムシ,10,動物,-
毛,ケ,ケ,10,動物-部位,-
星,ホシ,ホシ,10,自然物,-
畳,タタミ,タタミ,10,人工物-その他,-
草,クサ,クサ,10,植物,-
漫画,マンガ,マンガ,10,人工物-その他;抽象物,-
雲,クモ,クモ,10,自然物,-
宅,タク,タク,10,場所-施設,-
道具,ドウグ,ドウグ,10,人工物-その他,-
葉,ハ,ハ,10,植物-部位,-
空港,クウコウ,クウコウ,10,場所-施設,-
プレゼント,プレゼント,プレゼント,10,人工物-その他;抽象物,p
田舎,イナカ,イナカ,10,場所-その他,-
機械,キカイ,キカイ,10,人工物-その他,-
祖母,ソボ,ソボ,10,人,-
工場,コウジョウ,コウジョウ,10,場所-施設,-
味噌,ミソ,ミソ,10,人工物-食べ物,-
着物,キモノ,キモノ,10,人工物-衣類,-
人形,ニンギョウ,ニンギョウ,10,人工物-その他,-
スーツ,スーツ,スーツ,10,人工物-衣類,-
枝,エダ,エダ,10,植物-部位,-
アルバイト,アルバイト,アルバイト,10,人;抽象物,-
部長,ブチョウ,ブチョウ,10,人,-
糸,イト,イト,10,人工物-その他,-
店員,テンイン,テンイン,10,人,e
コンピューター,コンピューター,コンピューター,10,人工物-その他,-
土産,ミヤゲ,ミヤゲ,10,人工物-食べ物;人工物-その他,p
湖,ミズウミ,ミズウミ,10,場所-自然,-
ガス,ガス,ガス,10,自然物,e
祖父,ソフ,ソフ,10,人,-
金持ち,カネモチ,カネモチ,10,人,-
ケーキ,ケーキ,ケーキ,10,人工物-食べ物,-
品物,シナモノ,シナモノ,10,人工物-その他,-
嬢,ジョウ,ジョウ,10,人,-
下着,シタギ,シタギ,9,人工物-衣類,-
会場,カイジョウ,カイジョウ,10,場所-その他,-
教会,キョウカイ,キョウカイ,10,組織・団体;場所-施設,-
パパ,パパ,パパ,10,人,-
砂,スナ,スナ,10,自然物,e
髭,ヒゲ,ヒゲ,10,動物-部位,-
棚,タナ,タナ,10,人工物-その他;場所-施設部位,-
神社,ジンジャ,ジンジャ,10,場所-施設,-
玩具,オモチャ,オモチャ,10,人工物-その他,-
海岸,カイガン,カイガン,10,場所-自然,-
ガソリン,ガソリン,ガソリン,10,自然物,-
旅館,リョカン,リョカン,10,場所-施設,-
カーテン,カーテン,カーテン,10,人工物-その他,-
ピアノ,ピアノ,ピアノ,10,人工物-その他,-
指輪,ユビワ,ユビワ,10,人工物-衣類,-
市民,シミン,シミン,10,人,-
港,ミナト,ミナト,10,場所-施設,-
アルコール,アルコール,アルコール,10,自然物,-
赤ん坊,アカンボウ,アカンボウ,10,人,-
課長,カチョウ,カチョウ,10,人,-
坂,サカ,サカ,10,場所-その他,-
西洋,セイヨウ,セイヨウ,10,場所-その他,-
サラダ,サラダ,サラダ,10,人工物-食べ物,-
テキスト,テキスト,テキスト,10,人工物-その他;抽象物,-
校長,コウチョウ,コウチョウ,10,人,-
電灯,デントウ,デントウ,10,人工物-その他,-
レジ,レジ,レジ,8,人工物-その他;場所-施設部位,-
アナウンサー,アナウンサー,アナウンサー,10,人,-
スクリーン,スクリーン,スクリーン,10,人工物-その他,-
手袋,テブクロ,テブクロ,9,人工物-衣類,-
水道,スイドウ,スイドウ,10,人工物-その他,-
暖房,ダンボウ,ダンボウ,10,人工物-その他,-
乗り物,ノリモノ,ノリモノ,10,人工物-乗り物,-
特急,トッキュウ,トッキュウ,9,人工物-乗り物,e
葡萄,ブドウ,ブドウ,10,植物;人工物-食べ物,-
売り場,ウリバ,ウリバ,10,場所-施設,-
アクセサリー,アクセサリー,アクセサリー,10,人工物-衣類,-
郊外,コウガイ,コウガイ,10,場所-その他,-
サンダル,サンダル,サンダル,10,人工物-衣類,e
急行,キュウコウ,キュウコウ,10,人工物-乗り物;抽象物,-
屋上,オクジョウ,オクジョウ,10,場所-その他,-
絹,キヌ,キヌ,10,人工物-その他,-
小鳥,コトリ,コトリ,9,動物,-
押し入れ,オシイレ,オシイレ,10,場所-施設部位,-
汽車,キシャ,キシャ,10,人工物-乗り物,-
オートバイ,オートバイ,オートバイ,10,人工物-乗り物,-
サンドイッチ,サンドイッチ,サンドイッチ,10,人工物-食べ物,-
冷房,レイボウ,レイボウ,10,人工物-その他;抽象物,-
贈り物,オクリモノ,オクリモノ,10,人工物-その他,-
辞典,ジテン,ジテン,10,人工物-その他;抽象物,-
木綿,モメン,モメン,10,人工物-その他,-
ステレオ,ステレオ,ステレオ,9,人工物-その他,-
ステーキ,ステーキ,ステーキ,10,人工物-食べ物,-
ワープロ,ワープロ,ワープロ,10,人工物-その他,-
ジャム,ジャム,ジャム,7,人工物-食べ物,-
ハンバーグ,ハンバーグ,ハンバーグ,8,人工物-食べ物,-
電報,デンポウ,デンポウ,10,人工物-その他;抽象物,-
エスカレーター,エスカレーター,エスカレーター,9,人工物-その他,-
床屋,トコヤ,トコヤ,8,場所-施設,-
講堂,コウドウ,コウドウ,9,場所-施設,-
人間,ニンゲン,ニンゲン,10,人,-
相手,アイテ,アイテ,10,人,-
地,チ,チ,10,場所-その他,-
実,ジツ,ジツ,10,植物-部位,p
人々,ヒトビト,ヒトビト,10,人,-
身,ミ,ミ,10,動物-部位,-
自身,ジシン,ジシン,10,人,-
地域,チイキ,チイキ,10,場所-その他,-
個人,コジン,コジン,10,人,-
親,オヤ,オヤ,10,人,-
図,ズ,ズ,10,人工物-その他;抽象物,-
面,メン,メン,10,人工物-その他,-
地方,チホウ,チホウ,10,場所-その他,-
政府,セイフ,セイフ,10,組織・団体,-
組織,ソシキ,ソシキ,10,組織・団体,-
国民,コクミン,コクミン,10,人,-
軍,グン,グン,10,組織・団体,-
土地,トチ,トチ,10,場所-その他,-
神,カミ,カミ,10,人,e
都市,トシ,トシ,10,場所-その他,-
国家,コッカ,コッカ,10,組織・団体,-
奴,ヤツ,ヤツ,10,人,e
機関,キカン,キカン,10,組織・団体,-
主,ヌシ,ヌシ,10,人,e
代表,ダイヒョウ,ダイヒョウ,10,人;抽象物,e
局,キョク,キョク,10,組織・団体;場所-施設部位,-
位置,イチ,イチ,10,場所-その他,-
友人,ユウジン,ユウジン,10,人,p
商品,ショウヒン,ショウヒン,10,人工物-その他,e
委員,イイン,イイン,10,人,-
人物,ジンブツ,ジンブツ,10,人,e
身体,シンタイ,シンタイ,10,動物,-
少年,ショウネン,ショウネン,10,人,-
胸,ムネ,ムネ,10,動物-部位,-
母親,ハハオヤ,ハハオヤ,10,人,-
街,マチ,マチ,10,場所-その他,-
天皇,テンノウ,テンノウ,10,人,e
教授,キョウジュ,キョウジュ,10,人,e
他人,タニン,タニン,10,人,-
本人,ホンニン,ホンニン,10,人,-
夫婦,フウフ,フウフ,10,組織・団体,-
王,オウ,オウ,10,人,-
仲間,ナカマ,ナカマ,10,組織・団体,p
全国,ゼンコク,ゼンコク,10,場所-その他,-
保護,ホゴ,ホゴ,10,人工物-その他,p
器,ウツワ,ウツワ,10,人工物-その他,-
父親,チチオヤ,チチオヤ,10,人,e
集団,シュウダン,シュウダン,10,組織・団体,-
資料,シリョウ,シリョウ,10,人工物-その他,-
園,ソノ,ソノ,10,場所-その他,-
城,シロ,シロ,10,場所-施設,-
ケース,ケース,ケース,10,人工物-その他;抽象物,-
師,シ,シ,10,人,-
馬,ウマ,ウマ,10,動物,-
施設,シセツ,シセツ,10,場所-施設,-
道路,ドウロ,ドウロ,10,場所-施設,-
腰,コシ,コシ,10,動物-部位;抽象物,-
住宅,ジュウタク,ジュウタク,10,場所-施設,-
老人,ロウジン,ロウジン,10,人,e
茶,チャ,チャ,10,人工物-食べ物,-
民族,ミンゾク,ミンゾク,10,組織・団体,-
項,コウ,コウ,10,人工物-その他,-
腹,ハラ,ハラ,10,動物-部位,-
若者,ワカモノ,ワカモノ,10,人,p
現場,ゲンバ,ゲンバ,10,場所-その他,-
団体,ダンタイ,ダンタイ,10,組織・団体,-
モデル,モデル,モデル,10,人;抽象物,-
全員,ゼンイン,ゼンイン,10,人,-
監督,カントク,カントク,10,人;抽象物,e
空間,クウカン,クウカン,10,場所-その他,p
センター,センター,センター,10,場所-施設;場所-機能,-
肩,カタ,カタ,10,動物-部位,-
版,ハン,ハン,10,人工物-その他;数量,-
海外,カイガイ,カイガイ,10,場所-その他,-
穴,アナ,アナ,10,場所-自然;抽象物,e
涙,ナミダ,ナミダ,10,自然物,-
大臣,ダイジン,ダイジン,10,人,-
住民,ジュウミン,ジュウミン,10,人,-
土,ツチ,ツチ,10,自然物,-
地球,チキュウ,チキュウ,10,自然物,-
民,ミン,ミン,10,人,-
床,ユカ,ユカ,10,場所-施設部位,-
州,シュウ,シュウ,10,組織・団体;場所-その他,-
中学,チュウガク,チュウガク,10,組織・団体;場所-施設,-
青年,セイネン,セイネン,10,人,-
話題,ワダイ,ワダイ,10,人工物-その他,p
教師,キョウシ,キョウシ,10,人,e
男女,ダンジョ,ダンジョ,10,人,-
地下,チカ,チカ,10,場所-施設部位,-
メーカー,メーカー,メーカー,10,組織・団体,-
材料,ザイリョウ,ザイリョウ,10,人工物-その他,-
女子,ジョシ,ジョシ,10,人,-
鉄,テツ,テツ,10,自然物,-
世代,セダイ,セダイ,10,人;時間,-
マン,マン,マン,10,人,-
組合,クミアイ,クミアイ,10,組織・団体,-
層,ソウ,ソウ,10,場所-自然,-
文書,ブンショ,ブンショ,10,人工物-その他,-
天,テン,テン,10,場所-自然,-
記者,キシャ,キシャ,10,人,-
府,フ,フ,10,組織・団体;場所-その他,-
社員,シャイン,シャイン,10,人,-
袋,フクロ,フクロ,10,人工物-その他,-
自宅,ジタク,ジタク,10,場所-施設,-
医師,イシ,イシ,10,人,e
携帯,ケイタイ,ケイタイ,10,人工物-その他;抽象物,-
選手,センシュ,センシュ,10,人,-
クラブ,クラブ,クラブ,10,組織・団体;人工物-その他;形・模様,-
神経,シンケイ,シンケイ,10,動物-部位,e
インターネット,インターネット,インターネット,10,人工物-その他,-
兵,ヘイ,ヘイ,10,人,-
領域,リョウイキ,リョウイキ,10,場所-その他,-
少女,ショウジョ,ショウジョ,10,人,-
板,イタ,イタ,10,人工物-その他,-
婦人,フジン,フジン,10,人,-
肌,ハダ,ハダ,10,動物-部位,-
製品,セイヒン,セイヒン,10,人工物-その他,-
人類,ジンルイ,ジンルイ,10,人,-
朝日,アサヒ,アサヒ,10,自然物,-
太陽,タイヨウ,タイヨウ,10,自然物,e
ビール,ビール,ビール,10,人工物-食べ物,-
法人,ホウジン,ホウジン,10,組織・団体,-
物質,ブッシツ,ブッシツ,10,自然物,e
舞台,ブタイ,ブタイ,10,場所-施設,-
マンション,マンション,マンション,10,場所-施設,-
夫人,フジン,フジン,10,人,-
職員,ショクイン,ショクイン,10,人,-
職場,ショクバ,ショクバ,10,場所-その他,-
宇宙,ウチュウ,ウチュウ,10,場所-自然,-
メンバー,メンバー,メンバー,10,人,-
チーム,チーム,チーム,10,組織・団体,-
地元,ジモト,ジモト,10,場所-その他,-
柱,ハシラ,ハシラ,10,人工物-その他,-
郡,グン,グン,10,組織・団体;場所-その他,-
画面,ガメン,ガメン,10,人工物-その他,-
本書,ホンショ,ホンショ,10,人工物-その他;抽象物,-
民間,ミンカン,ミンカン,10,場所-その他,-
幕府,バクフ,バクフ,10,組織・団体;場所-施設,-
脳,ノウ,ノウ,10,動物-部位,-
ママ,ママ,ママ,10,人,-
表面,ヒョウメン,ヒョウメン,10,場所-その他,-
生物,セイブツ,セイブツ,10,動物;植物,-
帝国,テイコク,テイコク,10,場所-その他,-
笑顔,エガオ,エガオ,10,動物-部位,p
各地,カクチ,カクチ,10,場所-その他,-
読者,ドクシャ,ドクシャ,10,人,e
会長,カイチョウ,カイチョウ,10,人,-
岩,イワ,イワ,10,自然物,-
植物,ショクブツ,ショクブツ,10,植物,-
脇,ワキ,ワキ,10,動物-部位;場所-機能,-
真剣,シンケン,シンケン,10,人工物-その他,p
