単語,読み仮名,読み上げ用,使用範囲,JUMANカテゴリ,評価極性
肝,キモ,キモ,10,動物-部位,-
太鼓,タイコ,タイコ,10,人工物-その他,-
塀,ヘイ,ヘイ,9,場所-施設部位,-
空中,クウチュウ,クウチュウ,10,場所-その他,-
釜,カマ,カマ,10,人工物-その他,-
一帯,イッタイ,イッタイ,10,場所-その他,-
母子,ボシ,ボシ,10,人,-
部落,ブラク,ブラク,9,場所-その他,-
愛人,アイジン,アイジン,9,人,-
盆,ボン,ボン,10,人工物-その他,-
軌道,キドウ,キドウ,10,場所-施設;抽象物,-
国々,クニグニ,クニグニ,10,場所-その他,-
国道,コクドウ,コクドウ,10,場所-施設,-
劇場,ゲキジョウ,ゲキジョウ,10,場所-施設,-
刃,ハ,ハ,10,人工物-その他,-
エリート,エリート,エリート,10,人,p
自国,ジコク,ジコク,10,場所-その他,-
ドレス,ドレス,ドレス,10,人工物-衣類,-
樹木,ジュモク,ジュモク,10,植物,-
幹,ミキ,ミキ,10,植物-部位,-
水分,スイブン,スイブン,10,自然物,-
蒸気,ジョウキ,ジョウキ,9,自然物,e
マス,マス,マス,10,動物,-
住人,ジュウニン,ジュウニン,10,人,-
原料,ゲンリョウ,ゲンリョウ,10,人工物-その他;自然物,-
源泉,ゲンセン,ゲンセン,10,場所-自然,p
一員,イチイン,イチイン,10,人,-
束,タバ,タバ,10,人工物-その他,-
何者,ナニモノ,ナニモノ,10,人,e
野郎,ヤロウ,ヤロウ,10,人,-
無線,ムセン,ムセン,10,人工物-その他,-
斜面,シャメン,シャメン,10,場所-その他,-
蝶,チョウ,チョウ,10,動物,-
ワールド,ワールド,ワールド,10,場所-その他,-
新人,シンジン,シンジン,10,人,e
女優,ジョユウ,ジョユウ,9,人,e
皇子,オウジ,オウジ,9,人,-
柵,シガラミ,シガラミ,10,人工物-その他,-
地主,ジヌシ,ジヌシ,10,人,-
酢,ス,ス,10,人工物-食べ物,-
アイス,アイス,アイス,10,人工物-食べ物,e
陸,リク,リク,10,場所-自然,-
ウイスキー,ウイスキー,ウイスキー,9,人工物-食べ物,-
天国,テンゴク,テンゴク,10,場所-その他,p
食物,ショクモツ,ショクモツ,10,人工物-食べ物,-
当人,トウニン,トウニン,10,人,-
泡,アワ,アワ,10,自然物;抽象物,e
コミュニティー,コミュニティー,コミュニティー,10,組織・団体;場所-その他,-
書記,ショキ,ショキ,10,人,-
雌,メス,メス,10,動物;植物,-
楽器,ガッキ,ガッキ,9,人工物-その他,-
院長,インチョウ,インチョウ,10,人,-
フロント,フロント,フロント,10,場所-施設;場所-機能,-
家屋,カオク,カオク,10,場所-施設,-
鉢,ハチ,ハチ,10,人工物-その他,-
所長,ショチョウ,ショチョウ,10,人,-
ファックス,ファックス,ファックス,10,人工物-その他,-
ロビー,ロビー,ロビー,10,場所-施設,-
名刺,メイシ,メイシ,10,人工物-その他,-
マウス,マウス,マウス,9,動物;動物-部位;人工物-その他,-
英雄,エイユウ,エイユウ,10,人,p
紫,ムラサキ,ムラサキ,10,色,-
熱帯,ネッタイ,ネッタイ,10,場所-その他,-
烏賊,イカ,イカ,10,動物;人工物-食べ物,-
翼,ツバサ,ツバサ,10,動物-部位,-
列島,レットウ,レットウ,10,場所-自然,-
近隣,キンリン,キンリン,10,場所-その他,-
蜘蛛,クモ,クモ,10,動物,e
物件,ブッケン,ブッケン,10,人工物-その他;場所-その他,-
ゴール,ゴール,ゴール,10,場所-その他,-
兵隊,ヘイタイ,ヘイタイ,10,人,-
天狗,テング,テング,8,人,-
灰色,ハイイロ,ハイイロ,10,色,e
下駄,ゲタ,ゲタ,10,人工物-衣類,-
マシン,マシン,マシン,10,人工物-その他,-
衛星,エイセイ,エイセイ,10,自然物,-
諸島,ショトウ,ショトウ,10,場所-自然,-
パーク,パーク,パーク,10,場所-施設,-
諸君,ショクン,ショクン,10,人,-
タレント,タレント,タレント,9,人,e
雛,ヒナ,ヒナ,10,動物,-
生地,キジ,キジ,9,人工物-その他,-
大工,ダイク,ダイク,10,人,-
レンジ,レンジ,レンジ,10,人工物-その他,-
盤,バン,バン,9,人工物-その他,-
従兄弟,イトコ,イトコ,10,人,-
麦,ムギ,ムギ,10,植物,-
器具,キグ,キグ,10,人工物-その他,-
ガイド,ガイド,ガイド,10,人;抽象物,e
カフェ,カフェ,カフェ,10,場所-施設,-
マニュアル,マニュアル,マニュアル,10,人工物-その他;抽象物,-
居間,イマ,イマ,10,場所-施設,-
ボス,ボス,ボス,10,人,-
トマト,トマト,トマト,10,植物;人工物-食べ物,-
全集,ゼンシュウ,ゼンシュウ,10,人工物-その他;抽象物,-
師匠,シショウ,シショウ,10,人,p
コンビニ,コンビニ,コンビニ,10,場所-施設,-
鯨,クジラ,クジラ,10,動物,-
関節,カンセツ,カンセツ,10,動物-部位,-
境内,ケイダイ,ケイダイ,10,場所-その他,-
沿岸,エンガン,エンガン,10,場所-自然,-
緑色,ミドリイロ,ミドリイロ,10,色,-
蟹,カニ,カニ,10,動物;人工物-食べ物,-
歌手,カシュ,カシュ,10,人,p
デスク,デスク,デスク,10,人工物-その他,-
牧師,ボクシ,ボクシ,10,人,-
マイク,マイク,マイク,10,人工物-その他,-
指先,ユビサキ,ユビサキ,7,動物-部位,-
衣類,イルイ,イルイ,10,人工物-衣類,-
物資,ブッシ,ブッシ,10,人工物-その他,e
俳優,ハイユウ,ハイユウ,10,人,p
君主,クンシュ,クンシュ,10,人,e
ラン,ラン,ラン,10,植物,-
ブレーキ,ブレーキ,ブレーキ,10,人工物-その他,-
オーナー,オーナー,オーナー,10,人,-
本土,ホンド,ホンド,10,場所-その他,-
祖先,ソセン,ソセン,9,人,p
堀,ホリ,ホリ,10,場所-施設,-
食卓,ショクタク,ショクタク,10,人工物-その他,e
小麦,コムギ,コムギ,10,植物,-
蛋白,タンパク,タンパク,10,自然物,-
ホルモン,ホルモン,ホルモン,9,自然物,-
領土,リョウド,リョウド,10,場所-その他,e
薪,タキギ,タキギ,10,植物,-
前面,ゼンメン,ゼンメン,10,場所-その他,-
飲料,インリョウ,インリョウ,10,人工物-食べ物,-
ぱちんこ,パチンコ,パチンコ,10,人工物-その他,-
上空,ジョウクウ,ジョウクウ,9,場所-その他,-
蝋燭,ロウソク,ロウソク,10,人工物-その他,-
長女,チョウジョ,チョウジョ,10,人,-
地中,チチュウ,チチュウ,10,場所-その他,-
別荘,ベッソウ,ベッソウ,10,場所-施設,-
鸚鵡,オウム,オウム,10,動物,-
ライバル,ライバル,ライバル,10,人,-
問屋,トンヤ,トンヤ,10,場所-施設,-
将校,ショウコウ,ショウコウ,10,人,-
手首,テクビ,テクビ,9,動物-部位,-
神々,カミガミ,カミガミ,10,人,-
一覧,イチラン,イチラン,10,人工物-その他;抽象物,-
乳房,チブサ,チブサ,9,動物-部位,e
戦車,センシャ,センシャ,10,人工物-乗り物,-
僧侶,ソウリョ,ソウリョ,9,人,e
頂点,チョウテン,チョウテン,10,場所-その他,-
蝉,セミ,セミ,10,動物,-
庭園,テイエン,テイエン,10,場所-施設,-
花火,ハナビ,ハナビ,10,人工物-その他,-
釘,クギ,クギ,10,人工物-その他,-
専務,センム,センム,10,人,-
包丁,ホウチョウ,ホウチョウ,10,人工物-その他,-
病室,ビョウシツ,ビョウシツ,9,場所-施設,e
人参,ニンジン,ニンジン,10,植物;人工物-食べ物,-
肺,ハイ,ハイ,10,動物-部位,-
親指,オヤユビ,オヤユビ,9,動物-部位,-
大王,ダイオウ,ダイオウ,9,人,-
紅,ベニ,ベニ,10,色,-
宝石,ホウセキ,ホウセキ,9,自然物,p
羽目,ハメ,ハメ,10,場所-施設部位,-
産物,サンブツ,サンブツ,10,人工物-その他,-
海水,カイスイ,カイスイ,10,自然物,e
学院,ガクイン,ガクイン,10,組織・団体;場所-施設,-
モニター,モニター,モニター,10,人;人工物-その他,-
蟻,アリ,アリ,10,動物,-
ケーブル,ケーブル,ケーブル,10,人工物-その他,-
見出し,ミダシ,ミダシ,10,人工物-その他,-
産地,サンチ,サンチ,10,場所-その他,-
墨,スミ,スミ,10,人工物-その他,e
証人,ショウニン,ショウニン,10,人,e
大家,オオヤ,オオヤ,10,人,p
シティー,シティー,シティー,10,場所-その他,-
陸上,リクジョウ,リクジョウ,10,場所-その他,-
同志,ドウシ,ドウシ,9,人,-
ベテラン,ベテラン,ベテラン,10,人,p
蛸,タコ,タコ,10,動物;人工物-食べ物,-
使者,シシャ,シシャ,10,人,-
サークル,サークル,サークル,10,組織・団体,-
検事,ケンジ,ケンジ,9,人,-
番頭,バントウ,バントウ,8,人,-
芽,メ,メ,10,植物-部位,p
検察,ケンサツ,ケンサツ,10,組織・団体;抽象物,-
殻,カラ,カラ,10,動物-部位;植物-部位;抽象物,e
花粉,カフン,カフン,8,自然物,e
女神,メガミ,メガミ,10,人,e
史料,シリョウ,シリョウ,10,人工物-その他,-
ベランダ,ベランダ,ベランダ,9,場所-施設部位,-
団地,ダンチ,ダンチ,10,場所-施設,-
平野,ヘイヤ,ヘイヤ,10,場所-自然,-
グランド,グランド,グランド,10,場所-施設,-
液体,エキタイ,エキタイ,10,自然物,-
後輩,コウハイ,コウハイ,10,人,-
アルバム,アルバム,アルバム,10,人工物-その他,-
穀物,コクモツ,コクモツ,10,植物,-
子宮,シキュウ,シキュウ,8,動物-部位,-
土台,ドダイ,ドダイ,10,人工物-その他;抽象物,-
仮面,カメン,カメン,9,人工物-その他,-
肘,ヒジ,ヒジ,9,動物-部位,-
神宮,ジングウ,ジングウ,10,場所-施設,-
漁師,リョウシ,リョウシ,10,人,-
甲板,カンパン,カンパン,9,場所-施設部位,-
パネル,パネル,パネル,10,人工物-その他,-
蛙,カエル,カエル,10,動物,e
ラベル,ラベル,ラベル,10,人工物-その他,-
ブック,ブック,ブック,10,人工物-その他,-
隊長,タイチョウ,タイチョウ,9,人,-
碑,ヒ,ヒ,9,自然物,-
綱,ツナ,ツナ,10,人工物-その他,-
銅,ドウ,ドウ,10,自然物,-
総裁,ソウサイ,ソウサイ,10,人,-
滴,シズク,シズク,9,自然物,e
参謀,サンボウ,サンボウ,10,人,-
ゲート,ゲート,ゲート,10,場所-施設部位,-
路上,ロジョウ,ロジョウ,10,場所-その他,-
女将,オカミ,オカミ,9,人,-
警部,ケイブ,ケイブ,7,人,-
埃,ホコリ,ホコリ,10,自然物,e
宮殿,キュウデン,キュウデン,9,場所-施設,-
沼,ヌマ,ヌマ,10,場所-自然,-
塚,ツカ,ツカ,9,場所-その他,-
頭脳,ズノウ,ズノウ,10,動物-部位,p
宮廷,キュウテイ,キュウテイ,9,場所-施設,-
供,トモ,トモ,10,人;抽象物,-
連盟,レンメイ,レンメイ,10,組織・団体,-
左翼,サヨク,サヨク,10,動物-部位;人工物-その他;抽象物,-
瞼,マブタ,マブタ,9,動物-部位,-
書籍,ショセキ,ショセキ,10,人工物-その他,-
国産,コクサン,コクサン,10,人工物-その他;抽象物,-
尻尾,シッポ,シッポ,10,動物-部位,-
親王,シンノウ,シンノウ,7,人,-
亭主,テイシュ,テイシュ,10,人,-
リーグ,リーグ,リーグ,9,組織・団体,-
皇后,コウゴウ,コウゴウ,10,人,-
襟,エリ,エリ,10,人工物-その他,-
プラスチック,プラスチック,プラスチック,10,人工物-その他,-
小児,ショウニ,ショウニ,9,人,-
ハンドル,ハンドル,ハンドル,9,人工物-その他,-
茄子,ナス,ナス,10,植物;人工物-食べ物,-
美女,ビジョ,ビジョ,9,人,p
教材,キョウザイ,キョウザイ,10,人工物-その他,-
ディスク,ディスク,ディスク,10,人工物-その他,-
タンク,タンク,タンク,10,人工物-その他,-
蘭,ラン,ラン,10,植物,e
被告,ヒコク,ヒコク,10,人,-
審判,シンパン,シンパン,10,人;抽象物,-
木々,キギ,キギ,10,植物,-
農地,ノウチ,ノウチ,10,場所-その他,-
士官,シカン,シカン,10,人,-
土壌,ドジョウ,ドジョウ,10,自然物,-
天使,テンシ,テンシ,9,人,p
自家,ジカ,ジカ,10,場所-施設,-
団子,ダンゴ,ダンゴ,9,人工物-食べ物,-
障子,ショウジ,ショウジ,10,場所-施設部位,-
公衆,コウシュウ,コウシュウ,10,人,-
獅子,シシ,シシ,10,動物,-
若手,ワカテ,ワカテ,10,人,-
桐,キリ,キリ,9,植物,-
胡麻,ゴマ,ゴマ,9,植物;人工物-食べ物,-
ライオン,ライオン,ライオン,10,動物,-
歩道,ホドウ,ホドウ,10,場所-施設部位,-
蜜柑,ミカン,ミカン,10,植物;人工物-食べ物,-
大佐,タイサ,タイサ,10,人,-
個室,コシツ,コシツ,10,場所-施設,e
柳,ヤナギ,ヤナギ,10,植物,-
鋏,ハサミ,ハサミ,10,人工物-その他,-
彫刻,チョウコク,チョウコク,10,人工物-その他;抽象物,-
背筋,セスジ,セスジ,10,動物-部位,-
石炭,セキタン,セキタン,10,自然物,-
箪笥,タンス,タンス,10,人工物-その他,-
岬,ミサキ,ミサキ,10,場所-自然,-
腸,チョウ,チョウ,10,動物-部位,-
路地,ロジ,ロジ,10,場所-その他,-
都心,トシン,トシン,10,場所-その他,-
弓,ユミ,ユミ,9,人工物-その他,-
名簿,メイボ,メイボ,10,人工物-その他,-
戦艦,センカン,センカン,10,人工物-乗り物,-
ヘア,ヘア,ヘア,10,動物-部位,-
根元,ネモト,ネモト,10,植物-部位,-
ドクター,ドクター,ドクター,9,人,-
ファミリー,ファミリー,ファミリー,10,組織・団体,-
ベビー,ベビー,ベビー,10,人,-
判,ハン,ハン,10,人工物-その他,-
馬車,バシャ,バシャ,10,人工物-乗り物,-
チョコレート,チョコレート,チョコレート,10,人工物-食べ物,-
官庁,カンチョウ,カンチョウ,10,組織・団体;場所-施設,-
ボード,ボード,ボード,10,人工物-その他,-
浄土,ジョウド,ジョウド,9,場所-その他,p
ユー,ユー,ユー,10,人,-
崖,ガケ,ガケ,10,場所-自然,-
電池,デンチ,デンチ,10,人工物-その他,-
鞭,ムチ,ムチ,9,人工物-その他,-
冠,カンムリ,カンムリ,10,人工物-その他,-
市長,シチョウ,シチョウ,10,人,-
皇太子,コウタイシ,コウタイシ,10,人,-
兄貴,アニキ,アニキ,8,人,-
ピラミッド,ピラミッド,ピラミッド,10,場所-施設,-
頭上,ズジョウ,ズジョウ,10,場所-その他,-
役場,ヤクバ,ヤクバ,10,組織・団体;場所-施設,-
牧場,ボクジョウ,ボクジョウ,9,場所-その他,-
回路,カイロ,カイロ,10,人工物-その他,-
高原,コウゲン,コウゲン,10,場所-自然,-
武将,ブショウ,ブショウ,8,人,-
電源,デンゲン,デンゲン,10,人工物-その他,-
水中,スイチュウ,スイチュウ,10,場所-その他,-
隣人,リンジン,リンジン,10,人,-
空母,クウボ,クウボ,9,人工物-乗り物,-
ジャケット,ジャケット,ジャケット,9,人工物-衣類,-
股,マタ,マタ,10,動物-部位,e
鉱山,コウザン,コウザン,10,場所-自然,-
教団,キョウダン,キョウダン,9,組織・団体,-
フィールド,フィールド,フィールド,10,場所-その他,-
支部,シブ,シブ,10,場所-施設,-
大豆,ダイズ,ダイズ,9,植物;人工物-食べ物,-
村人,ムラビト,ムラビト,9,人,-
鎖,クサリ,クサリ,10,人工物-その他,-
脳裏,ノウリ,ノウリ,10,場所-その他,-
川原,カワラ,カワラ,10,場所-自然,-
戸口,トグチ,トグチ,9,場所-施設部位,-
ジャーナリスト,ジャーナリスト,ジャーナリスト,10,人,-
竿,サオ,サオ,9,人工物-その他,-
カメラマン,カメラマン,カメラマン,10,人,e
稲,イネ,イネ,10,植物,-
栗,クリ,クリ,10,植物;人工物-食べ物,-
パスポート,パスポート,パスポート,10,人工物-その他,-
マスク,マスク,マスク,10,人工物-衣類,-
膜,マク,マク,9,動物-部位;植物-部位,-
騎士,キシ,キシ,10,人,-
プリント,プリント,プリント,10,人工物-その他;抽象物,-
タウン,タウン,タウン,10,場所-その他,-
師範,シハン,シハン,10,人,-
領主,リョウシュ,リョウシュ,9,人,-
作物,サクモツ,サクモツ,10,植物,-
パンフレット,パンフレット,パンフレット,9,人工物-その他;抽象物,e
口元,クチモト,クチモト,10,動物-部位,-
天地,テンチ,テンチ,10,場所-自然;場所-その他;抽象物,-
タイヤ,タイヤ,タイヤ,9,人工物-その他,-
物品,ブッピン,ブッピン,10,人工物-その他,-
右翼,ウヨク,ウヨク,9,動物-部位;人工物-その他;抽象物,-
船長,センチョウ,センチョウ,9,人,-
議長,ギチョウ,ギチョウ,10,人,-
上人,ショウニン,ショウニン,9,人,-
リビング,リビング,リビング,10,場所-施設,-
岳,タケ,タケ,9,場所-自然,-
玉葱,タマネギ,タマネギ,10,植物;人工物-食べ物,-
長老,チョウロウ,チョウロウ,10,人,-
弦,ゲン,ゲン,10,人工物-その他,-
踵,カカト,カカト,10,動物-部位,e
拳銃,ケンジュウ,ケンジュウ,9,人工物-その他,-
長屋,ナガヤ,ナガヤ,10,場所-施設,-
チケット,チケット,チケット,10,人工物-その他,e
ビタミン,ビタミン,ビタミン,9,自然物,-
フォルダー,フォルダー,フォルダー,7,人工物-その他,-
マーケット,マーケット,マーケット,10,場所-その他,-
校舎,コウシャ,コウシャ,10,場所-施設,-
本国,ホンゴク,ホンゴク,10,場所-その他,-
獲物,エモノ,エモノ,10,動物,-
椀,ワン,ワン,8,人工物-その他,-
荷,ニ,ニ,10,人工物-その他,-
サンプル,サンプル,サンプル,10,人工物-その他,-
皇室,コウシツ,コウシツ,10,組織・団体,-
狸,タヌキ,タヌキ,10,動物,-
装備,ソウビ,ソウビ,9,人工物-その他,e
煉瓦,レンガ,レンガ,10,人工物-その他,-
神父,シンプ,シンプ,7,人,-
大物,オオモノ,オオモノ,10,人;抽象物,p
金庫,キンコ,キンコ,9,人工物-その他,-
蔓,ツル,ツル,10,植物-部位,-
リゾート,リゾート,リゾート,10,場所-その他,p
山頂,サンチョウ,サンチョウ,10,場所-自然,-
河川,カセン,カセン,10,場所-自然,-
ヘッド,ヘッド,ヘッド,10,動物-部位;人工物-その他,-
御所,ゴショ,ゴショ,10,場所-施設,-
ロボット,ロボット,ロボット,10,人工物-その他,-
ジーンズ,ジーンズ,ジーンズ,10,人工物-その他,-
会館,カイカン,カイカン,10,場所-施設,-
自社,ジシャ,ジシャ,10,組織・団体,-
泉,イズミ,イズミ,9,場所-自然,-
鹿,シカ,シカ,10,動物,-
郷,ゴウ,ゴウ,10,場所-その他,-
祖国,ソコク,ソコク,10,場所-その他,-
近郊,キンコウ,キンコウ,10,場所-その他,-
法廷,ホウテイ,ホウテイ,10,場所-施設,-
法師,ホウシ,ホウシ,8,人,-
水槽,スイソウ,スイソウ,9,人工物-その他,-
甥,オイ,オイ,10,人,-
梁,ハル,ハル,9,場所-施設部位,-
クライアント,クライアント,クライアント,10,人,-
珊瑚,サンゴ,サンゴ,10,動物,-
浦,ウラ,ウラ,10,場所-自然,-
芸者,ゲイシャ,ゲイシャ,10,人,-
糊,ノリ,ノリ,10,人工物-その他,e
線路,センロ,センロ,10,場所-施設,-
滓,カス,カス,10,人工物-その他,-
帝王,テイオウ,テイオウ,10,人,-
藩主,ハンシュ,ハンシュ,10,人,-
両足,リョウアシ,リョウアシ,10,動物-部位,-
首脳,シュノウ,シュノウ,10,人,-
海苔,ノリ,ノリ,10,植物;人工物-食べ物,-
膳,ゼン,ゼン,9,人工物-その他,-
フロア,フロア,フロア,10,場所-施設部位,-
司会,シカイ,シカイ,9,人;抽象物,-
スタジオ,スタジオ,スタジオ,10,場所-施設,-
ハート,ハート,ハート,10,動物-部位;色,-
商社,ショウシャ,ショウシャ,10,組織・団体;場所-施設,-
引き金,ヒキガネ,ヒキガネ,10,人工物-その他,-
軍艦,グンカン,グンカン,9,人工物-乗り物,-
旅人,タビビト,タビビト,10,人,-
ポスター,ポスター,ポスター,10,人工物-その他,-
コーチ,コーチ,コーチ,10,人,e
ターゲット,ターゲット,ターゲット,10,人工物-その他,-
デッキ,デッキ,デッキ,7,人工物-その他;場所-その他,-
技師,ギシ,ギシ,10,人,-
ルー,ルー,ルー,10,人工物-食べ物,-
薬物,ヤクブツ,ヤクブツ,10,人工物-その他,-
蛍,ホタル,ホタル,8,動物,-
下町,シタマチ,シタマチ,10,場所-その他,-
山脈,サンミャク,サンミャク,10,場所-自然,-
住職,ジュウショク,ジュウショク,8,人,-
茶屋,チャヤ,チャヤ,9,組織・団体,-
リボン,リボン,リボン,10,人工物-その他,-
経路,ケイロ,ケイロ,10,場所-その他,-
肥料,ヒリョウ,ヒリョウ,10,人工物-その他,e
目玉,メダマ,メダマ,9,動物-部位,-
丘陵,キュウリョウ,キュウリョウ,10,場所-自然,-
幹事,カンジ,カンジ,10,人,-
山道,ヤマミチ,ヤマミチ,10,場所-自然,-
麓,フモト,フモト,9,場所-自然,-
足跡,アシアト,アシアト,10,人工物-その他,e
茸,キノコ,キノコ,10,植物;人工物-食べ物,-
目前,モクゼン,モクゼン,10,場所-その他;時間,-
翁,オキナ,オキナ,10,人,e
鷹,タカ,タカ,10,動物,-
両面,リョウメン,リョウメン,10,場所-その他,-
自作,ジサク,ジサク,10,人工物-その他,-
貨物,カモツ,カモツ,10,人工物-その他,-
洞窟,ドウクツ,ドウクツ,9,場所-自然,-
巡査,ジュンサ,ジュンサ,10,人,-
幽霊,ユウレイ,ユウレイ,8,人,e
名人,メイジン,メイジン,10,人,p
ビーチ,ビーチ,ビーチ,10,場所-自然,-
鰻,ウナギ,ウナギ,10,動物;人工物-食べ物,-
本屋,ホンヤ,ホンヤ,10,場所-施設,-
成年,セイネン,セイネン,10,人;抽象物,-
鮭,サケ,サケ,10,動物;人工物-食べ物,-
毛布,モウフ,モウフ,10,人工物-その他,-
刺し身,サシミ,サシミ,10,人工物-食べ物,-
鴨,カモ,カモ,10,動物;人工物-食べ物,-
金魚,キンギョ,キンギョ,9,動物,-
区画,クカク,クカク,10,場所-その他,-
絨毯,ジュウタン,ジュウタン,9,人工物-その他,-
海賊,カイゾク,カイゾク,10,人,?p?n
便所,ベンジョ,ベンジョ,10,場所-施設,e
旗本,ハタモト,ハタモト,9,人,-
親方,オヤカタ,オヤカタ,10,人,-
婿,ムコ,ムコ,10,人,-
人体,ジンタイ,ジンタイ,10,動物,-
年配,ネンパイ,ネンパイ,9,人,-
家来,ケライ,ケライ,8,人,-
木材,モクザイ,モクザイ,10,人工物-その他,-
尿,ニョウ,ニョウ,10,自然物,e
父子,フシ,フシ,8,組織・団体,-
金色,キンイロ,キンイロ,9,色,-
シャッター,シャッター,シャッター,9,人工物-その他,-
カタログ,カタログ,カタログ,10,人工物-その他;抽象物,-
名所,メイショ,メイショ,10,場所-その他,p
立地,リッチ,リッチ,9,場所-その他,-
ワゴン,ワゴン,ワゴン,9,人工物-乗り物,-
アンテナ,アンテナ,アンテナ,10,人工物-その他,-
郷土,キョウド,キョウド,10,場所-その他,-
古里,フルサト,フルサト,10,場所-その他,-
中庭,ナカニワ,ナカニワ,9,場所-施設,-
山中,サンチュウ,サンチュウ,10,場所-その他,-
義母,ギボ,ギボ,8,人,-
人質,ヒトジチ,ヒトジチ,10,人,-
家畜,カチク,カチク,10,動物,-
宙,チュウ,チュウ,10,場所-その他,-
本家,ホンケ,ホンケ,10,場所-施設,-
脂,アブラ,アブラ,10,人工物-食べ物,-
戦士,センシ,センシ,10,人,e
寝台,シンダイ,シンダイ,10,人工物-その他,-
